Wall time,Step,Value
1681228673.797014,4096,11308.271484375
1681228675.842048,6144,7929.33447265625
1681228678.160227,8192,8708.8388671875
1681228680.270313,10240,4390.06787109375
1681228682.350879,12288,1709.0672607421875
1681228684.4014819,14336,7366.236328125
1681228686.481729,16384,5852.9560546875
1681228688.515127,18432,14332.2578125
1681228690.592198,20480,7965.515625
1681228692.619216,22528,11735.9404296875
1681228694.66815,24576,8583.7607421875
1681228696.707903,26624,20131.05859375
1681228698.780904,28672,9225.0205078125
1681228700.84377,30720,10903.822265625
1681228702.895253,32768,12518.958984375
1681228704.985882,34816,11683.2939453125
1681228707.040195,36864,17228.80859375
1681228709.097304,38912,6450.51904296875
1681228711.1578891,40960,16106.3515625
1681228713.17438,43008,16886.208984375
1681228715.223451,45056,12109.9111328125
1681228717.260755,47104,17751.025390625
1681228719.3128011,49152,22356.205078125
1681228721.397506,51200,12392.7578125
1681228723.5179589,53248,13226.0009765625
1681228725.627792,55296,13609.8603515625
1681228727.6722822,57344,13628.3525390625
1681228729.699409,59392,17422.0546875
1681228731.709306,61440,14762.0595703125
1681228733.731785,63488,15230.8203125
1681228735.751976,65536,15105.26953125
1681228737.776433,67584,15481.51953125
1681228739.8022609,69632,19763.11328125
1681228741.8567302,71680,10057.4287109375
1681228743.883774,73728,20979.970703125
1681228745.9109561,75776,16239.82421875
1681228748.1224499,77824,15036.2626953125
1681228750.2762141,79872,15001.0263671875
1681228752.3135931,81920,18972.2578125
1681228754.379112,83968,17266.40625
1681228756.518218,86016,17703.27734375
1681228758.537825,88064,12677.572265625
1681228760.570561,90112,16206.4619140625
1681228762.602793,92160,17398.857421875
1681228764.6516979,94208,19437.90234375
1681228766.679981,96256,16227.90234375
1681228768.696852,98304,20761.439453125
1681228770.708709,100352,18800.3359375
