Wall time,Step,Value
1681334845.154491,2048,-272.98077392578125
1681334847.361206,4096,-263.760009765625
1681334850.061642,6144,-251.02499389648438
1681334852.304069,8192,-267.760009765625
1681334854.4312289,10240,-270.79998779296875
1681334856.534685,12288,-275.7550048828125
1681334858.649903,14336,-258.8949890136719
1681334860.758671,16384,-215.0050048828125
1681334862.843116,18432,-148.3249969482422
1681334864.947613,20480,-13.53499984741211
1681334867.071203,22528,104.2750015258789
1681334869.186042,24576,102.83999633789062
1681334871.300479,26624,106.24500274658203
1681334873.626861,28672,48.44499969482422
1681334876.022846,30720,97.83000183105469
1681334878.420695,32768,83.07499694824219
1681334880.80078,34816,101.08999633789062
1681334882.923521,36864,45.400001525878906
1681334885.175068,38912,112.61499786376953
1681334887.4505322,40960,98.55000305175781
1681334889.605293,43008,57.099998474121094
1681334892.196411,45056,74.4800033569336
1681334894.582746,47104,106.63500213623047
1681334896.7134268,49152,221.0800018310547
1681334898.820408,51200,212.6699981689453
1681334900.9195662,53248,253.99000549316406
1681334903.011843,55296,193.10000610351562
1681334905.206933,57344,160.8699951171875
1681334907.290626,59392,116.625
1681334909.476919,61440,154.66000366210938
1681334911.643402,63488,202.40499877929688
1681334913.814487,65536,287.625
1681334916.0069802,67584,315.6499938964844
1681334918.128756,69632,293.04998779296875
1681334920.23777,71680,296.55999755859375
1681334922.347717,73728,333.8949890136719
1681334924.473172,75776,259.739990234375
1681334926.6189299,77824,153.47000122070312
1681334928.7103841,79872,105.7699966430664
1681334930.862038,81920,137.4250030517578
1681334932.964565,83968,275.5199890136719
1681334935.186483,86016,357.0350036621094
1681334937.301116,88064,362.3800048828125
1681334939.3988109,90112,248.51499938964844
1681334941.5298681,92160,172.1300048828125
1681334943.634609,94208,184.46499633789062
1681334945.7466319,96256,295.1000061035156
1681334947.831784,98304,332.6549987792969
1681334949.939022,100352,260.57000732421875
